"id","product_id","vendor_name","facility_location","processing_days","output_quantity","production_expenses","logistics_provider","shipping_method","freight_charges","quality_score","reorder_point","warehouse_zone","sustainability_index","created_at","updated_at"
2,"P-7002","Supplier 1","Chennai",18,800,"15.25","Carrier A","Air","567.80","9.2",150,"Zone-B",92,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
3,"P-7003","Supplier 5","Mumbai",14,450,"12.50","Carrier C","Road","234.25","7.8",300,"Zone-C",78,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
4,"P-7004","Supplier 2","Delhi",21,950,"25.80","Carrier B","Sea","678.90","9.5",100,"Zone-A",88,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
5,"P-7005","Supplier 4","Kolkata",10,300,"6.45","Carrier A","Rail","189.75","8.1",400,"Zone-B",82,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
6,"P-7006","Supplier 3","Bangalore",16,600,"16.75","Carrier C","Air","456.30","8.9",250,"Zone-C",90,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
7,"P-7007","Supplier 1","Chennai",13,850,"12.25","Carrier B","Road","512.40","7.5",350,"Zone-A",79,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
8,"P-7008","Supplier 5","Mumbai",19,500,"32.50","Carrier A","Rail","298.65","9.3",120,"Zone-B",94,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
9,"P-7009","Supplier 2","Delhi",15,1100,"10.80","Carrier C","Sea","745.20","8.4",280,"Zone-C",86,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
10,"P-7010","Supplier 4","Kolkata",22,400,"18.45","Carrier B","Air","156.90","7.9",320,"Zone-A",81,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
11,"P-7011","Supplier 3","Bangalore",11,750,"14.75","Carrier A","Road","423.80","8.6",180,"Zone-B",87,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
12,"P-7012","Supplier 1","Chennai",17,950,"24.90","Carrier C","Rail","589.45","9.1",140,"Zone-C",91,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
13,"P-7013","Supplier 5","Mumbai",9,280,"8.25","Carrier B","Sea","198.30","7.2",380,"Zone-A",76,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
14,"P-7014","Supplier 2","Delhi",20,620,"20.50","Carrier A","Air","678.15","8.8",220,"Zone-B",89,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
15,"P-7015","Supplier 4","Kolkata",14,880,"11.45","Carrier C","Road","167.80","8.3",260,"Zone-C",84,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
16,"P-7016","Supplier 3","Bangalore",23,520,"28.75","Carrier B","Rail","456.90","9.4",110,"Zone-A",93,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
17,"P-7017","Supplier 1","Chennai",16,1150,"9.80","Carrier A","Sea","712.35","8.0",300,"Zone-B",83,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
18,"P-7018","Supplier 5","Mumbai",19,380,"17.25","Carrier C","Air","223.40","7.7",340,"Zone-C",80,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
19,"P-7019","Supplier 2","Delhi",12,720,"15.50","Carrier B","Road","645.80","8.5",190,"Zone-A",88,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
20,"P-7020","Supplier 4","Kolkata",17,920,"26.80","Carrier A","Rail","234.75","9.0",130,"Zone-B",90,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
21,"P-7021","Supplier 3","Bangalore",24,310,"7.25","Carrier C","Sea","512.60","7.3",420,"Zone-C",77,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
22,"P-7022","Supplier 1","Chennai",13,580,"21.45","Carrier B","Air","589.20","8.7",240,"Zone-A",85,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
23,"P-7023","Supplier 5","Mumbai",15,860,"13.75","Carrier A","Road","345.90","7.9",330,"Zone-B",82,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
24,"P-7024","Supplier 2","Delhi",18,480,"30.80","Carrier C","Rail","678.45","9.2",160,"Zone-C",92,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
25,"P-7025","Supplier 4","Kolkata",20,1050,"11.25","Carrier B","Sea","189.60","8.2",270,"Zone-A",86,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
26,"P-7026","Supplier 3","Bangalore",11,350,"24.50","Carrier A","Air","456.75","8.9",200,"Zone-B",89,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
27,"P-7027","Supplier 1","Chennai",22,780,"13.90","Carrier C","Road","523.40","7.6",360,"Zone-C",81,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
28,"P-7028","Supplier 5","Mumbai",16,940,"17.80","Carrier B","Rail","298.15","8.8",150,"Zone-A",87,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
29,"P-7029","Supplier 2","Delhi",14,260,"8.95","Carrier A","Sea","745.80","7.4",440,"Zone-B",78,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
30,"P-7030","Supplier 4","Kolkata",19,560,"19.75","Carrier C","Air","167.25","8.4",230,"Zone-C",85,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
31,"P-7031","Supplier 3","Bangalore",17,820,"14.25","Carrier B","Road","423.90","8.1",290,"Zone-A",83,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
32,"P-7032","Supplier 1","Chennai",21,460,"35.50","Carrier A","Rail","589.60","9.3",170,"Zone-B",91,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
33,"P-7033","Supplier 5","Mumbai",13,1080,"9.45","Carrier C","Sea","198.75","7.8",310,"Zone-C",79,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
34,"P-7034","Supplier 2","Delhi",25,340,"23.80","Carrier B","Air","678.30","9.1",180,"Zone-A",90,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
35,"P-7035","Supplier 4","Kolkata",15,790,"16.25","Carrier A","Road","234.45","8.5",250,"Zone-B",86,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
36,"P-7036","Supplier 3","Bangalore",18,970,"26.45","Carrier C","Rail","512.20","9.4",120,"Zone-C",93,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
37,"P-7037","Supplier 1","Chennai",12,290,"10.25","Carrier B","Sea","745.65","7.9",390,"Zone-A",82,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
38,"P-7038","Supplier 5","Mumbai",20,610,"21.90","Carrier A","Air","189.40","8.6",220,"Zone-B",87,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
39,"P-7039","Supplier 2","Delhi",16,840,"12.80","Carrier C","Road","456.85","8.0",280,"Zone-C",84,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
40,"P-7040","Supplier 4","Kolkata",23,530,"29.75","Carrier B","Rail","678.50","9.5",140,"Zone-A",94,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
41,"P-7041","Supplier 3","Bangalore",14,1020,"11.50","Carrier A","Sea","298.25","8.3",260,"Zone-B",85,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
42,"P-7042","Supplier 1","Chennai",19,370,"17.45","Carrier C","Air","523.70","7.7",350,"Zone-C",80,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
43,"P-7043","Supplier 5","Mumbai",17,760,"16.75","Carrier B","Road","345.35","8.7",210,"Zone-A",86,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
44,"P-7044","Supplier 2","Delhi",21,890,"28.90","Carrier A","Rail","589.80","9.0",130,"Zone-B",89,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
45,"P-7045","Supplier 4","Kolkata",10,320,"8.25","Carrier C","Sea","198.95","7.5",410,"Zone-C",77,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
46,"P-7046","Supplier 3","Bangalore",22,570,"20.40","Carrier B","Air","456.40","8.9",190,"Zone-A",88,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
47,"P-7047","Supplier 1","Chennai",15,830,"14.15","Carrier A","Road","234.20","8.2",320,"Zone-B",83,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
48,"P-7048","Supplier 5","Mumbai",18,490,"32.25","Carrier C","Rail","712.65","9.3",150,"Zone-C",92,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
49,"P-7049","Supplier 2","Delhi",13,1060,"12.50","Carrier B","Sea","167.80","8.4",240,"Zone-A",87,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
50,"P-7050","Supplier 4","Kolkata",24,390,"22.75","Carrier A","Air","589.45","9.1",170,"Zone-B",90,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
51,"P-7051","Supplier 3","Bangalore",16,770,"15.80","Carrier C","Road","423.15","8.6",230,"Zone-C",85,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
52,"P-7052","Supplier 1","Chennai",20,910,"18.45","Carrier B","Rail","298.90","8.8",180,"Zone-A",88,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
53,"P-7053","Supplier 5","Mumbai",11,270,"9.85","Carrier A","Sea","745.25","7.4",460,"Zone-B",78,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
54,"P-7054","Supplier 2","Delhi",17,590,"22.40","Carrier C","Air","456.70","9.0",200,"Zone-C",89,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
55,"P-7055","Supplier 4","Kolkata",19,810,"13.90","Carrier B","Road","234.55","8.3",270,"Zone-A",84,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
56,"P-7056","Supplier 3","Bangalore",25,540,"32.80","Carrier A","Rail","678.15","9.4",160,"Zone-B",92,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
57,"P-7057","Supplier 1","Chennai",14,980,"10.95","Carrier C","Sea","189.30","8.1",290,"Zone-C",83,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
58,"P-7058","Supplier 5","Mumbai",22,360,"24.25","Carrier B","Air","523.85","8.7",210,"Zone-A",86,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
59,"P-7059","Supplier 2","Delhi",18,740,"18.75","Carrier A","Road","345.60","8.9",190,"Zone-B",88,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"
60,"P-7060","Supplier 4","Kolkata",15,860,"27.50","Carrier C","Rail","589.20","9.2",140,"Zone-C",91,"2025-10-01T10:22:49.499Z","2025-10-01T10:22:49.499Z"